"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HYDROPOWER","2023-06-01","2292.33","2333.25","2270.02","2323.39","1.39","360077560"
"HYDROPOWER","2023-05-31","2351.65","2364.9","2282.21","2291.56","-2.63","496097139.7"
"HYDROPOWER","2023-05-30","2419.72","2421.04","2340.74","2353.36","-2.73","515011933.2"
"HYDROPOWER","2023-05-28","2437.34","2459.99","2402.99","2419.31","-0.38","638460119.4"
"HYDROPOWER","2023-05-24","2437.1","2447.56","2399.46","2428.58","-0.31","390724539"
"HYDROPOWER","2023-05-23","2371.16","2436.09","2368.78","2436.08","2.73","480331601.4"
"HYDROPOWER","2023-05-22","2357.24","2376.45","2311.86","2371.24","0.60","262168152.9"
"HYDROPOWER","2023-05-21","2364.3","2383.84","2334.64","2357","-0.28","458163948.8"
"HYDROPOWER","2023-05-18","2304.1","2364.72","2279.11","2363.52","2.82","418038451"
"HYDROPOWER","2023-05-17","2248.9","2298.73","2241.95","2298.71","2.19","220039509.4"
"HYDROPOWER","2023-05-16","2233.67","2255.67","2210.12","2249.43","0.71","142134730.7"
"HYDROPOWER","2023-05-15","2238.52","2252.71","2202.79","2233.67","-0.24","174074735.9"
"HYDROPOWER","2023-05-14","2290.65","2302.92","2231.94","2239.01","-2.21","199781676.9"
"HYDROPOWER","2023-05-11","2293.97","2302.71","2267.59","2289.56","-0.41","141777157.5"
"HYDROPOWER","2023-05-10","2297.36","2303.49","2269.85","2298.98","0.10","158776441.5"
"HYDROPOWER","2023-05-09","2272.34","2316.72","2247.61","2296.75","1.08","267724623.2"
"HYDROPOWER","2023-05-08","2315.88","2317.19","2249.43","2272.17","-1.89","286660329.1"
"HYDROPOWER","2023-05-07","2364.18","2365.48","2303.71","2315.97","-2.04","170416543"
"HYDROPOWER","2023-05-04","2334.61","2371.05","2305.58","2364.17","1.25","204709934"
"HYDROPOWER","2023-05-03","2364.79","2364.79","2320.88","2334.88","-1.24","184403934.8"
"HYDROPOWER","2023-05-02","2385.5","2387.6","2348.08","2364.11","-0.87","202459172.8"
"HYDROPOWER","2023-04-30","2431.29","2431.79","2376.41","2384.78","-1.87","282756597.6"
"HYDROPOWER","2023-04-27","2437.23","2437.23","2417.44","2430.22","-0.25","214244058.5"
"HYDROPOWER","2023-04-26","2458.4","2461.9","2432.28","2436.36","-0.84","229521858.9"
"HYDROPOWER","2023-04-25","2442.73","2460.94","2424.26","2456.92","0.49","242317914.3"
