"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BANKING","2023-08-06","1319.22","1327.8","1280.42","1285.32","-1.71","1099022516.7"
"BANKING","2023-08-03","1302.27","1318.3","1301.21","1307.66","0.46","393872281.7"
"BANKING","2023-08-02","1291.79","1302.57","1287.93","1301.63","0.81","341724781.7"
"BANKING","2023-08-01","1303.53","1316.14","1287.57","1291.12","-0.94","338752428.1"
"BANKING","2023-07-31","1288.58","1313.83","1286.13","1303.35","0.75","413110384.5"
"BANKING","2023-07-30","1303.03","1314.8","1287.18","1293.66","-0.61","508444550.6"
"BANKING","2023-07-27","1312.41","1326.79","1300.19","1301.64","-1.00","463939429.1"
"BANKING","2023-07-26","1317.86","1333.9","1305.21","1314.77","-0.05","477025468.3"
"BANKING","2023-07-25","1352.63","1357","1314.16","1315.38","-2.75","662896441.23"
"BANKING","2023-07-24","1378.63","1394.8","1347.41","1352.63","-2.01","1347224885.9"
"BANKING","2023-07-23","1317.61","1381.27","1315.13","1380.31","4.99","1152808980.1"
"BANKING","2023-07-20","1313.8","1327","1306.52","1314.74","0.10","662625555.4"
"BANKING","2023-07-19","1284.53","1317.25","1276.52","1313.48","2.31","873346796.5"
"BANKING","2023-07-18","1270.9","1294.21","1271.9","1283.82","1.08","613688355.4"
"BANKING","2023-07-17","1234.8","1270.44","1234.15","1270.08","2.86","432898984.3"
"BANKING","2023-07-16","1218.55","1236.23","1218.55","1234.8","1.33","315582129.2"
"BANKING","2023-07-13","1208.22","1232.72","1208.22","1218.55","0.31","336828495.7"
"BANKING","2023-07-12","1206.01","1217.01","1204.81","1214.77","0.73","277344800.6"
"BANKING","2023-07-11","1208.8","1213.65","1202.25","1206","-0.23","310748481.5"
"BANKING","2023-07-10","1209.4","1221.31","1204.97","1208.79","-0.02","399079686.5"
"BANKING","2023-07-09","1197.74","1219.57","1197.74","1209","0.68","408970075.5"
"BANKING","2023-07-06","1204.48","1212.37","1197.68","1200.86","-0.30","390586371.9"
"BANKING","2023-07-05","1210.32","1225.1","1202.22","1204.47","-0.90","393254738.9"
"BANKING","2023-07-04","1212.86","1226.91","1209.48","1215.46","0.09","307934409.8"
"BANKING","2023-07-03","1225.41","1228.55","1212.28","1214.4","-1.02","339843128.15"
"BANKING","2023-07-02","1257.81","1262.34","1224.37","1226.95","-2.38","460790658.75"
"BANKING","2023-06-28","1281.12","1302.51","1252.88","1256.83","-1.54","570695101.9"
"BANKING","2023-06-27","1229.86","1276.6","1229.86","1276.49","3.93","780072668.7"
"BANKING","2023-06-26","1219.85","1237.99","1219.85","1228.25","0.69","600758313.3"
"BANKING","2023-06-25","1207.11","1223.19","1201.51","1219.85","1.06","586960772.98"
"BANKING","2023-06-22","1214.05","1221.25","1202.81","1207.11","-0.57","280089837"
"BANKING","2023-06-21","1224.98","1229.81","1212.05","1214.04","-0.83","382825654.9"
"BANKING","2023-06-20","1224.54","1239.71","1221.4","1224.17","-0.04","279545063.3"
"BANKING","2023-06-19","1233.63","1240.02","1223.29","1224.61","-0.67","310868623.9"
"BANKING","2023-06-18","1235.44","1239.02","1228.69","1232.93","-0.29","374339680.8"
"BANKING","2023-06-15","1242.73","1245.23","1231.39","1236.48","-0.19","315465969.2"
"BANKING","2023-06-14","1222.45","1251.97","1221.2","1238.87","1.29","570511477.4"
"BANKING","2023-06-13","1215.45","1228.8","1209.15","1223.13","0.63","375659332.9"
"BANKING","2023-06-12","1212.74","1226.97","1212.43","1215.45","0.25","248192708.1"
"BANKING","2023-06-11","1204.17","1215.92","1203.43","1212.44","0.74","318029903.8"
"BANKING","2023-06-08","1208.53","1210.84","1200.99","1203.55","-0.26","224137905.4"
"BANKING","2023-06-07","1210.28","1215.94","1204.9","1206.69","-0.22","217644182.3"
"BANKING","2023-06-06","1207.51","1212.66","1201.12","1209.3","0.15","203429264.6"
"BANKING","2023-06-05","1219.63","1229.55","1206.34","1207.5","-0.75","198006655.7"
"BANKING","2023-06-04","1199.31","1233.11","1195.9","1216.66","1.45","238180370.1"
"BANKING","2023-06-01","1193.11","1207.87","1185.59","1199.31","0.58","265026491.1"
"BANKING","2023-05-31","1208.97","1214.6","1189.29","1192.36","-1.54","392338988.2"
"BANKING","2023-05-30","1240.7","1240.7","1209.68","1211.03","-2.42","339090122.8"
"BANKING","2023-05-28","1247.6","1261.5","1239.15","1241.04","-0.42","374258742"
"BANKING","2023-05-24","1245.06","1259.14","1236.74","1246.25","0.17","228318332.8"
"BANKING","2023-05-23","1222.84","1246.13","1222.84","1244.11","1.74","345218179"
"BANKING","2023-05-22","1223.13","1226.39","1214.69","1222.83","-0.02","202060844.7"
"BANKING","2023-05-21","1222.47","1237.14","1221.23","1223.12","0.05","231111727"
"BANKING","2023-05-18","1210.53","1227.92","1209.92","1222.46","1.10","285844342.2"
"BANKING","2023-05-17","1200.47","1213.42","1200.39","1209.14","0.72","182996830.3"
"BANKING","2023-05-16","1201.8","1205.13","1196.66","1200.47","-0.11","183368999.3"
"BANKING","2023-05-15","1205.5","1207.8","1197.35","1201.79","-0.31","186202404.6"
"BANKING","2023-05-14","1213.85","1224.24","1200.58","1205.5","-0.71","238398893.72"
"BANKING","2023-05-11","1211.96","1215.15","1207.87","1214.17","0.05","120598037.5"
"BANKING","2023-05-10","1217.93","1224.28","1212.65","1213.54","-0.22","152701678.7"
"BANKING","2023-05-09","1208.67","1224.05","1207.39","1216.17","0.30","135024237.7"
"BANKING","2023-05-08","1219.95","1225.23","1208.69","1212.59","-0.53","159157208.7"
"BANKING","2023-05-07","1229.48","1232.29","1217.78","1219.09","-0.74","144574231.4"
"BANKING","2023-05-04","1224.03","1238.38","1216.77","1228.2","0.34","158804203.7"
"BANKING","2023-05-03","1226.39","1228.96","1219.5","1224.03","-0.16","131523388"
"BANKING","2023-05-02","1227.57","1237.23","1219.72","1226.01","-0.09","163260834.9"
"BANKING","2023-04-30","1236.56","1239.54","1224.96","1227.08","-0.77","224452631.6"
"BANKING","2023-04-27","1235.03","1241.2","1225.79","1236.56","0.24","187925527"
"BANKING","2023-04-26","1243.23","1248.77","1231.5","1233.58","-0.62","185913664.3"
"BANKING","2023-04-25","1227.63","1241.24","1226.75","1241.24","0.99","168502387.5"
"BANKING","2023-04-24","1229.23","1232.85","1220.62","1229.07","-0.01","150980374.4"
"BANKING","2023-04-23","1245.95","1248.92","1226.9","1229.23","-1.34","198191860.9"
"BANKING","2023-04-20","1248.02","1261.76","1241.43","1245.94","-0.42","294772931.8"
"BANKING","2023-04-19","1237.77","1259.92","1237.77","1251.24","0.76","185175211.4"
"BANKING","2023-04-18","1237.61","1247.57","1233.13","1241.8","-0.00","169315019.8"
"BANKING","2023-04-17","1254.99","1263.04","1240.09","1241.82","-1.05","199087184.7"
"BANKING","2023-04-16","1254.84","1268.36","1245.21","1254.99","0.01","176697086.7"
"BANKING","2023-04-13","1284.48","1292.37","1251.14","1254.84","-1.56","307294554.5"
"BANKING","2023-04-12","1207.56","1276.02","1207.56","1274.74","5.46","377331739.4"
"BANKING","2023-04-11","1194.46","1210.64","1192.16","1208.71","1.41","207402126.4"
