"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"FINANCE","2023-08-06","1808.69","1810.92","1731.15","1750.24","-3.44","190060681.5"
"FINANCE","2023-08-03","1843.49","1855.77","1806.97","1812.52","-1.53","178764076.7"
"FINANCE","2023-08-02","1809.83","1840.61","1784.87","1840.61","1.75","171127704.3"
"FINANCE","2023-08-01","1856.15","1875.17","1795.75","1808.87","-2.43","137118827.5"
"FINANCE","2023-07-31","1830.76","1878.14","1826.82","1853.96","1.27","158510384.7"
"FINANCE","2023-07-30","1878.04","1889.91","1825.73","1830.75","-2.33","166153141.8"
"FINANCE","2023-07-27","1927.53","1933.78","1869.78","1874.41","-2.23","205788605.9"
"FINANCE","2023-07-26","1915.18","1943.46","1905.1","1917.18","0.08","165643968.4"
"FINANCE","2023-07-25","1957.75","1957.74","1907.45","1915.56","-1.87","176856588.7"
"FINANCE","2023-07-24","1989.12","1997.14","1938.35","1952.09","-1.90","232668324.6"
"FINANCE","2023-07-23","1962.07","2011.46","1951.64","1989.93","1.71","208857376.3"
"FINANCE","2023-07-20","1978.91","1981.01","1951.35","1956.41","-0.80","159895583.5"
"FINANCE","2023-07-19","1992.57","2003.45","1965.41","1972.11","-0.94","167587549.7"
"FINANCE","2023-07-18","2002.33","2019.52","1981.51","1990.74","-0.21","261976329.6"
"FINANCE","2023-07-17","1929.19","1997.02","1918.92","1994.87","3.61","232600115.4"
"FINANCE","2023-07-16","1929.93","1945.51","1907.1","1925.32","-0.14","164351160.6"
"FINANCE","2023-07-13","1971.86","1987.82","1919.92","1928.11","-2.00","255448673"
"FINANCE","2023-07-12","2006.6","2036.68","1961.4","1967.4","-1.95","338557095.9"
"FINANCE","2023-07-11","1948.05","2041.1","1943.64","2006.59","2.98","534769555.2"
"FINANCE","2023-07-10","1900.89","1955.06","1894.05","1948.43","2.71","424074754"
"FINANCE","2023-07-09","1857.23","1906.15","1852.5","1897.1","2.10","186754318.2"
"FINANCE","2023-07-06","1859.82","1884.88","1835.21","1858","-0.08","189895421.8"
"FINANCE","2023-07-05","1884.12","1910.35","1846.23","1859.49","-1.07","321944484.6"
"FINANCE","2023-07-04","1844.19","1886.82","1839.5","1879.53","1.92","190277626.2"
"FINANCE","2023-07-03","1856.24","1891.41","1833.2","1844.19","-0.53","276975854.6"
"FINANCE","2023-07-02","1899.38","1919.38","1845.9","1853.95","-2.02","389813634.3"
"FINANCE","2023-06-28","1958.57","1971.63","1878.67","1892.12","-2.99","350030448"
"FINANCE","2023-06-27","1882.23","1951.35","1880.42","1950.48","4.44","529058708.7"
"FINANCE","2023-06-26","1823.6","1890.63","1822.85","1867.48","3.11","486878591.8"
"FINANCE","2023-06-25","1714.68","1813.95","1712.25","1811.18","5.73","279154955.3"
"FINANCE","2023-06-22","1717.52","1759.91","1704.28","1713.09","-0.26","117873604.9"
"FINANCE","2023-06-21","1747.15","1772.77","1715.44","1717.51","-1.61","145247324.7"
"FINANCE","2023-06-20","1815.82","1845.97","1734.41","1745.55","-3.70","242088840.8"
"FINANCE","2023-06-19","1730.57","1842.29","1722.2","1812.62","5.22","401514118.1"
"FINANCE","2023-06-18","1697.23","1728.07","1691.65","1722.72","2.12","149702485.8"
"FINANCE","2023-06-15","1703.3","1704.76","1674.69","1686.95","-0.96","100582616.9"
"FINANCE","2023-06-14","1719.19","1742.32","1676.13","1703.3","-0.92","212831310.7"
"FINANCE","2023-06-13","1682.26","1734.82","1668.83","1719.18","2.19","185884067"
"FINANCE","2023-06-12","1702.35","1714.67","1667.94","1682.26","-0.96","151337515.4"
"FINANCE","2023-06-11","1608.54","1707.6","1607.92","1698.49","5.72","290749081.9"
"FINANCE","2023-06-08","1588.91","1611.72","1578.62","1606.6","1.11","90557892.3"
"FINANCE","2023-06-07","1588.44","1616.84","1581.77","1588.9","0.04","101833899.5"
"FINANCE","2023-06-06","1569.66","1597.49","1560.66","1588.21","1.18","78146835.7"
"FINANCE","2023-06-05","1587.05","1606.86","1556.37","1569.66","-1.10","55103335.6"
"FINANCE","2023-06-04","1534.31","1592.43","1534.31","1587.04","3.44","40926698.6"
"FINANCE","2023-06-01","1522.81","1553.73","1510.35","1534.31","0.76","42660928"
"FINANCE","2023-05-31","1554.17","1572.09","1513.48","1522.8","-2.18","68929882.5"
"FINANCE","2023-05-30","1603.84","1606.88","1544.31","1556.8","-2.79","69725782.5"
"FINANCE","2023-05-28","1640.84","1649.61","1588.73","1601.49","-2.40","67308113.4"
"FINANCE","2023-05-24","1648.29","1657.18","1626.03","1640.83","-0.45","61043071.5"
"FINANCE","2023-05-23","1599.42","1649.8","1591.52","1648.28","3.23","82903422.6"
"FINANCE","2023-05-22","1583.07","1616.19","1565.82","1596.74","0.86","44374417.9"
"FINANCE","2023-05-21","1585.86","1615.37","1571.63","1583.06","-0.18","54635527.8"
"FINANCE","2023-05-18","1554.55","1598.71","1549.74","1585.85","2.17","42259388.6"
"FINANCE","2023-05-17","1517.67","1552.23","1514.36","1552.23","2.28","21428437"
"FINANCE","2023-05-16","1512.85","1523.79","1499.04","1517.67","0.32","14299032.5"
"FINANCE","2023-05-15","1511.74","1525.51","1494.16","1512.85","0.07","19658682.7"
"FINANCE","2023-05-14","1533.31","1539.64","1503.65","1511.74","-1.26","16600007.8"
"FINANCE","2023-05-11","1541.41","1544.19","1523.1","1531.02","-0.67","13129718.1"
"FINANCE","2023-05-10","1538.14","1541.41","1527.37","1541.4","0.21","15190521.1"
"FINANCE","2023-05-09","1530.65","1562.35","1516.5","1538.14","0.49","19225303.9"
"FINANCE","2023-05-08","1549.06","1552.91","1512.56","1530.64","-1.19","23193292.6"
"FINANCE","2023-05-07","1568.1","1568.1","1536.38","1549.06","-1.21","16360162.6"
"FINANCE","2023-05-04","1547.71","1568.42","1541.51","1568.09","1.32","14197027.9"
"FINANCE","2023-05-03","1560","1560","1541.49","1547.71","-0.79","15756748"
"FINANCE","2023-05-02","1557.83","1567.18","1551.44","1560","0.14","19786595.6"
"FINANCE","2023-04-30","1577.82","1580.84","1553.69","1557.82","-1.27","25835285.6"
"FINANCE","2023-04-27","1586.79","1589.02","1571.05","1577.82","-0.57","21476517.1"
