"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"DEVBANK","2023-06-18","3711.06","3778.46","3709.36","3761.17","1.35","168225558.9"
"DEVBANK","2023-06-15","3732.06","3742.35","3675.55","3711.05","-0.34","118513020.2"
"DEVBANK","2023-06-14","3759.88","3811.82","3673.84","3723.67","-0.96","251696629.5"
"DEVBANK","2023-06-13","3701.17","3791.9","3670.99","3759.88","1.59","179983192.9"
"DEVBANK","2023-06-12","3729.43","3767.78","3671.28","3701.17","-0.50","205146588.7"
"DEVBANK","2023-06-11","3554.26","3728.86","3554.26","3719.8","4.66","312562292.4"
"DEVBANK","2023-06-08","3522.27","3566.22","3492.23","3554.25","0.91","99075009.4"
"DEVBANK","2023-06-07","3496.09","3551.03","3489.88","3522.27","1.14","115146192"
"DEVBANK","2023-06-06","3455.01","3502.27","3447.92","3482.48","0.80","38260156.1"
"DEVBANK","2023-06-05","3506.98","3544.89","3448.97","3455","-1.45","68008209"
"DEVBANK","2023-06-04","3388.59","3527.57","3388.59","3505.95","3.46","48715845.3"
"DEVBANK","2023-06-01","3369.99","3418.39","3333.92","3388.59","0.55","67720311.5"
"DEVBANK","2023-05-31","3426.73","3461.71","3358.69","3369.98","-2.04","84761116.9"
"DEVBANK","2023-05-30","3520.43","3520.43","3425.5","3440.16","-2.28","75330231.3"
"DEVBANK","2023-05-28","3593.02","3622.24","3505.53","3520.43","-2.02","108844654.1"
"DEVBANK","2023-05-24","3600.48","3620.87","3560.17","3593.02","0.01","66642937.6"
"DEVBANK","2023-05-23","3509.87","3599.39","3509.87","3592.72","2.36","98931672.2"
"DEVBANK","2023-05-22","3498.63","3526.33","3447.93","3509.86","0.30","49412044"
"DEVBANK","2023-05-21","3507.09","3562.38","3485.79","3499.2","-0.22","73802314.9"
"DEVBANK","2023-05-18","3439.75","3531.9","3416.39","3507.09","2.55","81050267.4"
"DEVBANK","2023-05-17","3365.38","3442.77","3365.38","3419.86","1.62","48384853.2"
"DEVBANK","2023-05-16","3363.81","3380.65","3345.97","3365.37","0.05","24822011.7"
"DEVBANK","2023-05-15","3353.26","3377.76","3324.99","3363.8","0.31","31743319.2"
