"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HOTELS","2023-08-06","5594.61","5626.04","5370.93","5393.21","-3.60","124572352.1"
"HOTELS","2023-08-03","5627.83","5703.61","5571.97","5594.6","-0.59","101201413.5"
"HOTELS","2023-08-02","5549.75","5671.9","5487","5627.82","1.41","99089181.6"
"HOTELS","2023-08-01","5672.75","5750.68","5511.82","5549.74","-2.17","136112018"
"HOTELS","2023-07-31","5668.98","5789.82","5613.3","5672.75","0.07","120941756.4"
"HOTELS","2023-07-30","5789.82","5827.21","5646.66","5668.98","-2.09","202843477.4"
"HOTELS","2023-07-27","5909.65","5944.41","5757.9","5789.81","-2.03","140900632.3"
"HOTELS","2023-07-26","5995.07","6073.19","5886.4","5909.64","-1.43","174353395.1"
"HOTELS","2023-07-25","5898.29","6078.66","5833.74","5995.07","1.22","300984715.2"
"HOTELS","2023-07-24","6007.4","6099.69","5892.42","5922.76","-1.02","254415359.1"
"HOTELS","2023-07-23","5806.33","6072.16","5806.33","5983.55","3.05","287134713"
"HOTELS","2023-07-20","5849.87","5905.53","5748.94","5806.33","-0.37","169786428.1"
"HOTELS","2023-07-19","5865.45","5902.48","5802.43","5827.79","-0.64","108835527.2"
"HOTELS","2023-07-18","5995.82","6007.31","5845.16","5865.45","-1.45","158232108.6"
"HOTELS","2023-07-17","5797.47","5955.71","5719.69","5951.76","2.66","178847597.1"
"HOTELS","2023-07-16","5810.01","5869.6","5764.41","5797.46","-0.22","118271794"
"HOTELS","2023-07-13","5774.11","5952.23","5764.85","5810","0.19","277020610.9"
"HOTELS","2023-07-12","5850.15","5893.41","5799.08","5799.07","-0.87","174489447.2"
"HOTELS","2023-07-11","5979.39","5979.39","5813.6","5850.15","-1.36","236924606.4"
"HOTELS","2023-07-10","6069.85","6104.13","5901.5","5930.93","-1.72","494353740.4"
"HOTELS","2023-07-09","5779.82","6036.94","5740.11","6034.6","4.63","270867455.1"
"HOTELS","2023-07-06","5698.2","5873.63","5639.93","5767.31","1.42","323414777.9"
"HOTELS","2023-07-05","5791.78","5872.44","5646.63","5686.81","-1.53","164275039.1"
"HOTELS","2023-07-04","5651.11","5780.55","5626.62","5775.09","2.36","155221319.4"
"HOTELS","2023-07-03","5544.89","5751.64","5484.93","5641.75","2.07","364511958.8"
"HOTELS","2023-07-02","5738.18","5760.91","5527.41","5527.4","-2.72","338113720.5"
"HOTELS","2023-06-28","5894.6","5902.24","5675.53","5682.03","-2.68","368966495.7"
"HOTELS","2023-06-27","5830.44","5962.31","5754.45","5838.61","1.05","382437127.8"
"HOTELS","2023-06-26","5927.17","5881.93","5684.41","5778.22","0.84","456604241.9"
"HOTELS","2023-06-25","5606","5890.49","5571.2","5730.27","1.66","648896405.5"
"HOTELS","2023-06-22","5191.06","5667.5","5163.02","5636.7","8.65","551351846.5"
"HOTELS","2023-06-21","4990.8","5275.74","4929.45","5187.72","4.84","323480005.5"
"HOTELS","2023-06-20","4996.88","5135.52","4924.17","4948.21","-0.97","183733789.5"
"HOTELS","2023-06-19","5075.78","5124.23","4916.36","4996.88","-1.61","260939236.8"
"HOTELS","2023-06-18","4784.35","5088.36","4767.55","5078.74","6.15","269777291.3"
"HOTELS","2023-06-15","4584.53","4788.76","4516.68","4784.34","4.56","261195100.3"
"HOTELS","2023-06-14","4618.78","4705.52","4507.42","4575.61","-0.93","208761278.9"
"HOTELS","2023-06-13","4644.3","4731.05","4465.52","4618.77","-0.55","241807313.4"
"HOTELS","2023-06-12","4307.3","4645.87","4278.12","4644.3","10.78","306940872.2"
"HOTELS","2023-06-11","4139.86","4212.41","4139.86","4192.31","1.27","127208075.6"
"HOTELS","2023-06-08","4178.9","4219.89","4130.47","4139.86","-0.93","122571580.9"
"HOTELS","2023-06-07","4198.16","4305.87","4130.52","4178.9","-0.46","180838112.3"
"HOTELS","2023-06-06","3973.02","4215.56","3943.58","4198.16","5.67","169195439.6"
"HOTELS","2023-06-05","4005.02","4100.85","3957.45","3973.01","-0.80","128104815.4"
"HOTELS","2023-06-04","3730.19","4018.73","3730.19","4005.02","7.37","156946213.5"
"HOTELS","2023-06-01","3663.84","3777.11","3637.77","3730.18","1.49","66980487.2"
"HOTELS","2023-05-31","3794.38","3820.22","3635.37","3675.53","-3.31","130075671"
"HOTELS","2023-05-30","3899.03","3899.03","3762.19","3801.24","-2.51","144952221"
"HOTELS","2023-05-28","4040.65","4087.3","3890.07","3899.02","-2.77","194529169.9"
"HOTELS","2023-05-24","3838.49","4024.04","3781.02","4009.95","4.47","154013797.3"
"HOTELS","2023-05-23","3707.42","3843.11","3707.42","3838.48","3.54","93862109.7"
"HOTELS","2023-05-22","3651.89","3807.38","3589.78","3707.42","1.52","160545788"
"HOTELS","2023-05-21","3557.92","3659.71","3550.38","3651.88","2.64","105209665.6"
"HOTELS","2023-05-18","3429.19","3579.45","3413.93","3557.92","3.75","73829600.3"
"HOTELS","2023-05-17","3409.17","3450.16","3389.66","3429.18","0.59","16914581.1"
"HOTELS","2023-05-16","3386.53","3434.48","3382.47","3409.16","0.67","16888068.8"
"HOTELS","2023-05-15","3403.17","3412.01","3355.18","3386.52","-0.49","17431280.9"
"HOTELS","2023-05-14","3430.83","3479.23","3366.96","3403.17","-0.81","49482770.6"
"HOTELS","2023-05-11","3438.61","3451.67","3408.73","3430.83","-0.23","21936115.2"
"HOTELS","2023-05-10","3452.94","3477.09","3418.72","3438.61","-0.42","19318334.9"
"HOTELS","2023-05-09","3387.1","3496.54","3352.93","3452.94","1.94","30965483.9"
"HOTELS","2023-05-08","3460.83","3471.17","3382.11","3387.1","-2.44","43777722.7"
"HOTELS","2023-05-07","3535.08","3543.21","3447.11","3471.66","-1.79","22048280.7"
"HOTELS","2023-05-04","3508.17","3550.53","3447.56","3535.08","0.77","36397788.8"
"HOTELS","2023-05-03","3560.77","3570.43","3496.26","3508.17","-1.48","28724263.1"
"HOTELS","2023-05-02","3550","3598.69","3529.85","3560.77","0.30","47900891.9"
"HOTELS","2023-04-30","3565.78","3621.15","3533.36","3550","-0.75","92811153.6"
"HOTELS","2023-04-27","3508.52","3580.08","3489.86","3576.94","1.83","67312178.7"
"HOTELS","2023-04-26","3559.52","3562.31","3507.04","3512.62","-1.32","67286102.6"
"HOTELS","2023-04-25","3487.08","3559.52","3455.63","3559.52","1.92","63212851.3"
"HOTELS","2023-04-24","3564.41","3575.02","3478.45","3492.54","-1.85","113603829.7"
"HOTELS","2023-04-23","3552.79","3580.09","3492.9","3558.37","0.31","33079452.3"
"HOTELS","2023-04-20","3554.42","3610.07","3534.29","3547.3","-0.20","30512214.6"
"HOTELS","2023-04-19","3535.37","3572.32","3497.84","3554.42","0.54","37979965"
"HOTELS","2023-04-18","3495.41","3560.9","3459.49","3535.37","1.14","49561189.4"
"HOTELS","2023-04-17","3500.35","3547.89","3480.92","3495.41","-0.14","39476756.1"
"HOTELS","2023-04-16","3344.6","3581.77","3344.6","3500.35","4.66","82180712.3"
"HOTELS","2023-04-13","3347.52","3380.73","3304.03","3344.6","-0.09","44756853.9"
"HOTELS","2023-04-12","3229.12","3347.87","3229.12","3347.52","3.67","45716688.2"
"HOTELS","2023-04-11","3175.94","3239.44","3161.9","3229.16","1.68","12172986"
"HOTELS","2023-04-10","3122.43","3177.31","3121.93","3175.94","1.71","5400033.6"
"HOTELS","2023-04-09","3188.61","3192.88","3112.54","3122.43","-1.36","13166292.9"
"HOTELS","2023-04-06","3184.74","3195.09","3148.51","3165.47","-0.30","9289680"
"HOTELS","2023-04-05","3134.06","3186.53","3121.6","3174.88","1.04","13415308.4"
"HOTELS","2023-04-04","3137.45","3172.06","3096.97","3142.1","0.10","13010536.8"
"HOTELS","2023-04-03","3156.7","3172.86","3115.54","3138.92","-0.56","13887015.2"
"HOTELS","2023-04-02","3175.61","3228.4","3145.54","3156.7","-0.60","33921116.9"
"HOTELS","2023-03-30","3159.68","3198.96","3126.26","3175.61","0.50","26809341.3"
"HOTELS","2023-03-29","3117.97","3183.09","3073.12","3159.68","1.34","25702342.3"
"HOTELS","2023-03-28","3114.19","3140.82","3087.57","3117.97","0.44","20862964.9"
"HOTELS","2023-03-27","3056.71","3104.21","3009.49","3104.21","1.55","13888558.3"
"HOTELS","2023-03-26","3068.55","3088.17","3029.03","3056.71","-0.41","32402253.9"
"HOTELS","2023-03-23","3111.72","3111.72","3062.62","3069.23","-1.37","14883294.8"
"HOTELS","2023-03-22","3173.31","3183.53","3104.64","3111.72","-1.14","14439682.4"
"HOTELS","2023-03-20","3080.01","3148.18","3080.01","3147.63","2.20","12655649.6"
"HOTELS","2023-03-19","3053.38","3097.34","3044.66","3080.01","0.87","8600929.4"
"HOTELS","2023-03-16","3088.67","3106.42","3053.38","3053.38","-1.14","17955222.2"
"HOTELS","2023-03-15","3095.55","3104.27","3044.75","3088.67","-0.22","11611892.6"
"HOTELS","2023-03-14","3075.6","3133.56","3050.17","3095.55","0.65","9722049.8"
"HOTELS","2023-03-13","3090.56","3094.94","3057.63","3075.6","-0.81","14489754.1"
"HOTELS","2023-03-12","3132.03","3158.7","3083.93","3100.7","-1.00","22376817.8"
"HOTELS","2023-03-09","3063.74","3136.97","3063.74","3132.03","2.23","23380327.5"
"HOTELS","2023-03-07","3031.99","3107.26","3031.99","3063.74","1.05","9852264.4"
"HOTELS","2023-03-05","3100.09","3100.09","3030.82","3031.99","-2.20","10559196.7"
"HOTELS","2023-03-02","3120.82","3120.82","3070","3100.09","-0.66","11719572.5"
"HOTELS","2023-03-01","3176.83","3181.19","3109.57","3120.82","-1.76","19053250.2"
"HOTELS","2023-02-28","3204.56","3214.91","3162.6","3176.83","-0.97","39173401.6"
"HOTELS","2023-02-27","3164.01","3207.83","3068.11","3207.83","2.16","32081323.7"
"HOTELS","2023-02-26","3082.1","3164.73","3011.89","3164.01","2.34","25001956.3"
"HOTELS","2023-02-23","3190.12","3190.12","3082.14","3091.8","-3.08","26835346.5"
"HOTELS","2023-02-22","3095.13","3219.39","3075.75","3190.12","3.07","15186350.5"
"HOTELS","2023-02-20","3123.1","3154.64","3091.22","3095.13","-0.90","13539817.2"
"HOTELS","2023-02-16","3162.5","3182.97","3108.65","3123.1","-1.25","18881274.9"
"HOTELS","2023-02-15","3203.32","3237.19","3158.87","3162.5","-1.27","19094161.1"
"HOTELS","2023-02-14","3230.27","3234.7","3177.3","3203.32","-0.83","22791973.4"
"HOTELS","2023-02-12","3311.54","3311.54","3212.34","3230.27","-2.74","40175611.7"
"HOTELS","2023-02-09","3308.76","3332.41","3280.51","3321.13","0.37","15320648.8"
"HOTELS","2023-02-08","3358.46","3404.51","3293.47","3308.76","-1.48","104286492.9"
"HOTELS","2023-02-07","3260.92","3360.03","3250.89","3358.46","2.99","45197532"
"HOTELS","2023-02-06","3252.07","3260.92","3206.06","3260.92","0.27","39411175.6"
"HOTELS","2023-02-05","3228.11","3307.85","3220.06","3252.07","0.74","20986663.7"
"HOTELS","2023-02-02","3279.22","3308.87","3198.54","3228.11","-1.56","30602771.5"
"HOTELS","2023-02-01","3228.75","3289.55","3228.75","3279.22","1.56","32016582.1"
"HOTELS","2023-01-31","3253.42","3279.95","3215.42","3228.75","-0.97","33636817.8"
"HOTELS","2023-01-30","3382.24","3382.24","3246.64","3260.26","-3.61","51592358.5"
"HOTELS","2023-01-29","3375.36","3396.24","3265.35","3382.24","0.20","56293994"
"HOTELS","2023-01-26","3359.62","3410.79","3339.23","3375.36","0.78","81484200.8"
"HOTELS","2023-01-25","3231.36","3351.33","3213.47","3349.38","3.65","55242195.6"
"HOTELS","2023-01-24","3220.81","3268.67","3168.79","3231.36","0.33","18571287.4"
"HOTELS","2023-01-23","3300.05","3330.08","3219.83","3220.81","-2.40","44585237.3"
"HOTELS","2023-01-19","3336.26","3345.13","3288.99","3300.05","-1.09","14534029.5"
"HOTELS","2023-01-18","3370.66","3424.71","3291.92","3336.26","-0.80","69118364.2"
"HOTELS","2023-01-17","3185.82","3363.3","3169.64","3363.3","5.12","50935498.3"
"HOTELS","2023-01-12","3285.47","3368.37","3155.01","3199.48","-2.62","47700902.3"
"HOTELS","2023-01-10","3401.36","3509.9","3274.09","3285.47","-3.41","89240901.7"
"HOTELS","2023-01-09","3407.2","3442.34","3357.02","3401.36","-0.17","61557795.8"
"HOTELS","2023-01-08","3276.75","3474.35","3212.92","3407.2","3.98","83677462.7"
"HOTELS","2023-01-05","3098.73","3288.32","3034.66","3276.75","5.75","91884903.8"
"HOTELS","2023-01-04","3044.68","3098.51","2991.74","3098.51","1.77","51162460.3"
"HOTELS","2023-01-03","2958.83","3101.76","2958.83","3044.68","2.60","66090569.6"
"HOTELS","2023-01-02","2885.54","2978.82","2831.07","2967.55","2.84","40252580.8"
"HOTELS","2023-01-01","2870.58","2925.5","2837.08","2885.54","0.52","68483392.2"
